Name,Check,Dates,Type
Mét. Numéricos,Yes,06/03/2023 18:00 (CET),📒 Lesson
Mét. Numéricos,Yes,27/02/2023 18:00 (CET),📒 Lesson
Mét. Numéricos,Yes,20/02/2023 18:00 (CET),📒 Lesson
Comportamiento Humano e Integración de la Inteligencia Artificial,Yes,16/06/2023 17:00 (CEST),🔍 Exam
Métodos Numéricos y Factorizaciones,No,07/07/2023 12:00 (CEST),🔍 Exam
Fundamentos de la Programación II,No,08/07/2023 12:00 (CEST),🔍 Exam
Estructura y Análisis de Datos,No,06/07/2023 12:00 (CEST),🔍 Exam
Comportamiento Humano e Integración a la Inteligencia Artificial,No,05/07/2023 13:30 (CEST),
Examen Mecánica,Yes,20/12/2021 10:00 (CET) → 12:00,🔍 Exam
Red Universitaria de moda sostenible,Yes,19/11/2021 16:30 (CET) → 21/11/2021 13:30 (CET),Evento
Laboratorio,Yes,02/12/2021 15:00 (CET) → 18:00,Laboratorio
Examen Ecu. Dif.,Yes,16/11/2021 12:00 (CET) → 14:00,🔍 Exam
Examen Ecu. Dif.,Yes,16/12/2021 10:00 (CET) → 11:50,🔍 Exam
Charla Espacio,Yes,12/11/2021 13:00 (CET),Evento
Práctica 2 de termodinámica,Yes,11/11/2021 0:00 (CET) → 28/11/2021 23:59 (CET),Laboratorio
Examen Electromagnetismo,Yes,24/11/2021 8:15 (CET) → 8:55,🔍 Exam
Termodinámica,Yes,15/12/2021 14:00 (CET),🔍 Exam
Presentación Inglés,Yes,29/11/2021,Presentación
Sesión preliminar del laboratorio,Yes,29/11/2021 12:00 (CET) → 13:00,Laboratorio
Navidad responsable,Yes,01/12/2021 16:00 (CET) → 17:30,
Práctica 3,Yes,16/12/2021 12:00 (CET) → 14:00,Laboratorio
Inglés,Yes,20/12/2021 17:15 (CET),
Electromagnetismo,Yes,22/12/2021 10:00 (CET),
Mecánica,Yes,13/01/2022 9:30 (CET),🔍 Exam
Termdinámica,Yes,11/01/2022 9:30 (CET),🔍 Exam
Electromagnetismo,Yes,18/01/2022 16:00 (CET),
Traslado a UC3M,Yes,17/01/2022 → 07/03/2022,
Tecnología de los Materiales,Yes,12/04/2022 8:00 (CEST) → 19/04/2022 10:00 (CEST),🔍 Exam
Tecnología de los materiales,Yes,10/05/2022 8:00 (CEST) → 17/05/2022 10:00 (CEST),🔍 Exam
Física II,Yes,17/03/2022 8:15 (CET) → 21/03/2022 8:15 (CET),🔍 Exam
Física II,Yes,26/04/2022 8:15 (CEST) → 03/05/2022 8:15 (CEST),🔍 Exam
Práctica de vibraciones,Yes,10/03/2022 13:00 (CET),Laboratorio
Primer parcial Modelización,Yes,09/03/2022 8:00 (CET) → 10:00,🔍 Exam
Modelización y Análisis Numérico,Yes,20/04/2022 8:00 (CEST) → 27/04/2022 8:00 (CEST),🔍 Exam
3º Modelización y Análisis Numérico,Yes,11/05/2022 8:00 (CEST) → 18/05/2022 10:00 (CEST),🔍 Exam
Física II,Yes,31/05/2022 0:00 (CEST) → 07/06/2022 9:30 (CEST),🔍 Exam
Tecnologia de los materiales,Yes,03/06/2022 0:00 (CEST) → 10/06/2022 9:30 (CEST),
Modelización y Analisis Numérico,Yes,30/05/2022 0:00 (CEST) → 06/06/2022 9:30 (CEST),
Física II,Yes,28/06/2022 0:00 (CEST) → 05/07/2022 9:30 (CEST),
Modelizasión y analisís numérico,Yes,24/06/2022 0:00 (CEST) → 01/07/2022 0:00 (CEST),🔍 Exam
Tecnología de los Materiales,Yes,04/07/2022 0:00 (CEST) → 11/07/2022 16:00 (CEST),
Charla Nuclear,Yes,19/05/2022 17:30 (CEST),
Comportamiento Humano e Integración de la Inteligencia Artificial,No,05/07/2023 13:30 (CEST),🔍 Exam
,No,,📒 Lesson
Fundamentos de la Programación II,Yes,10/06/2023 12:00 (CEST),🔍 Exam
